Ticker,Company name,Segment,Segment Number,CIQ Formula,Currency,1/1/2010,4/1/2010,7/1/2010,10/1/2010,1/1/2011,4/1/2011,7/1/2011,10/1/2011,1/1/2012,4/1/2012,7/1/2012,10/1/2012,1/1/2013,4/1/2013,7/1/2013,10/1/2013,1/1/2014,4/1/2014,7/1/2014,10/1/2014,1/1/2015,4/1/2015,7/1/2015,10/1/2015,1/1/2016,4/1/2016,7/1/2016,10/1/2016,1/1/2017,4/1/2017,7/1/2017,10/1/2017,1/1/2018,4/1/2018,7/1/2018,10/1/2018,1/1/2019,4/1/2019,7/1/2019,10/1/2019,1/1/2020,4/1/2020,7/1/2020,10/1/2020,1/1/2021,4/1/2021,7/1/2021,10/1/2021,1/1/2022,4/1/2022,7/1/2022,10/1/2022,1/1/2023,4/1/2023,7/1/2023
SWX:ABBN,ABB,Electrification,1,IQ_BUS_SEG_REV,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2229.0,2506.0,2353.0,2459.0,2289.0,2536.0,2462.0,2633.0,2293.0,2509.0,2596.0,0.0,2494.0,2673.0,3199.0,3320.0,3057.0,3272.0,3161.0,3238.0,2773.0,2764.0,3031.0,3356.0,3140.0,3406.0,3196.0,3445.0,3236.0,3414.0,3471.0,3663.0,3590.0,3735.0,3561.0
SWX:ABBN,ABB,Motion,2,IQ_BUS_SEG_REV,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629.0,1614.0,1671.0,1605.0,1641.0,1630.0,1657.0,1510.0,1583.0,1611.0,1705.0,1667.0,1850.0,1673.0,1735.0,1572.0,1626.0,1702.0,1845.0,1940.0,1981.0,1947.0
SWX:ABBN,ABB,Process Automation,3,IQ_BUS_SEG_REV,USD,1735.0,1737.0,1859.0,2101.0,1900.0,2095.0,1988.0,2317.0,1970.0,2052.0,1904.0,2230.0,1978.0,2130.0,2128.0,0.0,1943.0,2012.0,1899.0,2094.0,1764.0,1875.0,1659.0,1926.0,1664.0,1770.0,1570.0,1650.0,1513.0,1575.0,1780.0,0.0,1859.0,1613.0,1544.0,1723.0,1518.0,1580.0,1492.0,1683.0,1462.0,1382.0,1403.0,1545.0,1407.0,1540.0,1507.0,1805.0,1506.0,1529.0,1458.0,1551.0,1436.0,1553.0,1554.0
SWX:ABBN,ABB,Robotics & Discrete Automation,4,IQ_BUS_SEG_REV,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,887.0,892.0,851.0,845.0,831.0,787.0,671.0,629.0,806.0,801.0,853.0,832.0,813.0,799.0,730.0,732.0,828.0,891.0,937.0,922.0,929.0
SWX:ABBN,ABB,"Corporate Costs, Intersegment Eliminations and Other",5,IQ_BUS_SEG_REV,USD,-728.0,-716.0,-721.0,-834.0,-733.0,-868.0,-835.0,-954.0,-817.0,-835.0,-772.0,-1008.0,-907.0,-939.0,-887.0,0.0,-734.0,-773.0,-724.0,-914.0,-481.0,-515.0,-504.0,3036.0,516.0,540.0,521.0,708.0,-223.0,-219.0,-298.0,0.0,-121.0,-109.0,-149.0,-211.0,-184.0,-167.0,-222.0,-297.0,-200.0,-204.0,-269.0,-225.0,-166.0,-179.0,-161.0,-217.0,-79.0,-50.0,-53.0,-126.0,-44.0,-28.0,-23.0
ENXTPA:LR,Legrand,Electric Equipment,1,IQ_BUS_SEG_REV,EUR,911.7,998.4,963.5,1016.9,1036.4,1071.4,1040.5,1101.8,1086.2,1137.5,1111.1,1131.9,1092.9,1161.1,1064.6,1141.8,1084.3,1140.3,1099.3,1175.2,1164.7,1247.0,1148.6,1249.6,1189.6,1258.8,1256.2,1314.3,1318.8,1352.8,1316.7,1532.5,1445.2,1541.6,1450.6,1559.8,1550.0,1676.8,1662.1,1733.4,1515.7,1316.9,1661.3,1605.6,1674.1,1779.3,1715.3,1825.5,1972.3,2120.1,2061.3,2185.7,2149.6,2145.2,2012.5
ENXTPA:LR,Legrand,Electric Equipment,1,IQ_BUS_SEG_REV,USD,1232.8,1226.0,1309.0,1363.6,1469.8,1555.6,1399.2,1431.4,1448.0,1442.0,1427.0,1492.4,1400.3,1509.4,1440.9,1572.4,1494.0,1561.1,1387.4,1422.5,1251.2,1389.0,1281.8,1357.2,1354.8,1398.0,1412.0,1387.4,1410.2,1543.4,1556.2,1840.2,1780.5,1798.6,1685.4,1785.9,1739.6,1908.1,1812.3,1945.2,1665.6,1482.0,1950.8,1964.0,1964.9,2109.7,1988.1,2076.1,2191.0,2216.3,2021.3,2335.9,2335.5,2341.9,2130.1
NYSE:HUBB,Hubbell,Utility Solutions,1,IQ_BUS_SEG_REV,USD,161.2,188.0,194.4,189.4,192.0,211.3,237.7,226.4,218.7,242.1,237.9,231.1,224.8,236.8,238.3,221.4,220.7,243.4,253.7,243.4,240.0,259.0,259.5,243.7,252.1,267.4,272.8,252.7,264.8,291.9,296.5,282.8,373.1,478.1,492.3,477.6,457.1,508.2,514.7,485.3,526.6,479.8,557.6,0.0,532.2,588.8,601.8,611.6,651.8,728.5,774.5,716.3,781.6,830.8,837.9
NYSE:HUBB,Hubbell,Electrical Solutions,2,IQ_BUS_SEG_REV,USD,409.3,458.4,490.6,449.9,466.1,497.9,526.6,513.6,505.1,536.3,551.8,521.4,515.3,564.5,597.6,585.2,538.8,612.4,641.6,605.4,569.7,615.0,617.5,586.0,582.7,641.4,634.6,601.5,587.5,656.4,654.0,634.9,618.1,688.6,687.4,666.5,630.2,688.2,689.3,618.0,563.7,469.4,551.0,0.0,424.1,465.5,481.6,488.5,504.3,527.5,541.7,503.3,503.8,535.1,537.9
XTRA:SIE,Siemens,Industrial Businesses (IB) - Digital Industries,1,IQ_BUS_SEG_REV,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2163.0,2246.0,2266.0,2525.0,2382.0,2426.0,2499.0,2686.0,2465.0,2400.0,2519.0,2787.0,2586.0,2710.0,2918.0,3129.0,3013.0,3262.0,3913.0,4127.0,3859.0,0.0,3888.0,4284.0,3762.0,3684.0,3670.0,3881.0,3765.0,4031.0,4176.0,4542.0,4347.0,4565.0,4930.0,5675.0,5114.0,5537.0,5301.0,5967.0
XTRA:SIE,Siemens,Industrial Businesses (IB) - Smart Infrastructure,2,IQ_BUS_SEG_REV,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3562.0,4069.0,3323.0,0.0,3587.0,4181.0,3529.0,3517.0,3372.0,3905.0,3477.0,3562.0,3770.0,4206.0,3809.0,4009.0,4369.0,5165.0,4585.0,4908.0,4924.0,5528.0
XTRA:SIE,Siemens,Industrial Businesses (IB) - Mobility,3,IQ_BUS_SEG_REV,EUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.0,1698.0,1852.0,2109.0,1858.0,1836.0,1817.0,1997.0,2044.0,1915.0,1795.0,2071.0,1806.0,2015.0,2052.0,2231.0,2195.0,2112.0,2146.0,2368.0,2174.0,0.0,2126.0,2501.0,2180.0,2263.0,2162.0,2447.0,2193.0,2272.0,2258.0,2510.0,2410.0,2136.0,2456.0,2690.0,2446.0,2666.0,2560.0,2878.0
